伝票日付,号数,売番号,船名,船主名,問屋名,漁法名,船籍名,生冷区分,魚種名,単位,単価,個数,数量,金額,消費税,取引日
20120126,138,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:㎏,205 ,1,12.6 ,2583 ,129 ,20120126
20120126,139,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:㎏,300 ,1,8.4 ,2520 ,126 ,20120126
20120126,140,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:㎏,516 ,1,7.4 ,3818 ,191 ,20120126
20120126,141,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:㎏,60 ,2,13.6 ,816 ,41 ,20120126
20120126,1,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,きはだ,0:㎏,1490 ,1,84.0 ,125160 ,6258 ,20120126
20120126,2,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,きはだ,0:㎏,1810 ,1,56.6 ,102446 ,5122 ,20120126
20120126,3,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,きはだ,0:㎏,1390 ,1,44.8 ,62272 ,3114 ,20120126
20120126,4,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,きはだ,0:㎏,889 ,1,33.4 ,29693 ,1485 ,20120126
20120126,5,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,きはだ,0:㎏,931 ,1,38.4 ,35750 ,1788 ,20120126
20120126,6,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,きはだ,0:㎏,221 ,1,44.4 ,9812 ,491 ,20120126
20120126,7,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,きはだ,0:㎏,221 ,1,48.6 ,10741 ,537 ,20120126
20120126,8,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,きはだ,0:㎏,989 ,1,27.8 ,27494 ,1375 ,20120126
20120126,1,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1500 ,1,237.0 ,355500 ,17775 ,20120126
20120126,2,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1140 ,1,151.0 ,172140 ,8607 ,20120126
20120126,3,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1190 ,1,137.6 ,163744 ,8187 ,20120126
20120126,4,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,977 ,1,142.8 ,139516 ,6976 ,20120126
20120126,5,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1320 ,1,218.2 ,288024 ,14401 ,20120126
20120126,6,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,907 ,1,130.0 ,117910 ,5896 ,20120126
20120126,7,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,807 ,1,118.4 ,95549 ,4777 ,20120126
20120126,8,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1010 ,1,126.0 ,127260 ,6363 ,20120126
20120126,9,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1180 ,1,101.0 ,119180 ,5959 ,20120126
20120126,10,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1020 ,1,108.0 ,110160 ,5508 ,20120126
20120126,11,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,877 ,1,131.4 ,115238 ,5762 ,20120126
20120126,12,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,897 ,1,104.4 ,93647 ,4682 ,20120126
20120126,13,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,866 ,1,104.0 ,90064 ,4503 ,20120126
20120126,14,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1110 ,1,102.0 ,113220 ,5661 ,20120126
20120126,15,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1060 ,1,107.8 ,114268 ,5713 ,20120126
20120126,16,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,787 ,1,138.6 ,109078 ,5454 ,20120126
